GPC_ID   | MEDIA   | DUDOSOS  | TOTAL    | % ERROR | CATEGORIA
499773   | 0.914   | 8        | 427      |    1.9% | Bricolaje  >  Materiales de construcción  >  Herrajes para ventanas  >  Manivelas para ventanas
130      | 0.896   | 8        | 149      |    5.4% | Bricolaje  >  Herramientas  >  Escaleras y andamios
2216     | 0.935   | 8        | 464      |    1.7% | Bricolaje  >  Fontanería  >  Tuberías de fontanería
216      | 0.921   | 8        | 791      |    1.0% | Arte y ocio  >  Hobbies y artes creativas  >  Coleccionables
5775     | 0.933   | 8        | 3587     |    0.2% | Alimentación, bebida y tabaco  >  Alimentos  >  Ingredientes de cocina y repostería  >  Sabores y extractos para repostería
6429     | 0.935   | 7        | 2564     |    0.3% | Salud y belleza  >  Cuidado personal  >  Cuidado capilar  >  Vaporizadores para el cabello y gorros térmicos
204      | 0.936   | 7        | 5515     |    0.1% | Ropa y accesorios  >  Prendas de vestir  >  Pantalones
304      | 0.936   | 7        | 633      |    1.1% | Electrónica  >  Accesorios electrónicos  >  Componentes para ordenadores  >  Dispositivos de entrada  >  Ratones y trackballs
1763     | 0.927   | 7        | 330      |    2.1% | Electrónica  >  Accesorios electrónicos  >  Cables  >  Cables de alimentación
2832     | 0.927   | 7        | 715      |    1.0% | Casa y jardín  >  Piscina y spa  >  Accesorios para piscinas y jacuzzis
2425     | 0.940   | 7        | 804      |    0.9% | Casa y jardín  >  Iluminación  >  Bombillas
2549     | 0.869   | 7        | 95       |    7.4% | Casa y jardín  >  Electrodomésticos  >  Electrodomésticos para cuidado de la ropa  >  Lavadoras
668      | 0.913   | 7        | 785      |    0.9% | Casa y jardín  >  Cocina y comedor  >  Herramientas y utensilios de cocina
586      | 0.936   | 7        | 383      |    1.8% | Casa y jardín  >  Accesorios para el baño  >  Toalleros
123      | 0.935   | 7        | 928      |    0.8% | Bricolaje  >  Materiales de construcción  >  Techo
1221     | 0.896   | 7        | 182      |    3.8% | Bricolaje  >  Herramientas  >  Taladradores y llaves de impacto
1235     | 0.927   | 7        | 258      |    2.7% | Bricolaje  >  Herramientas  >  Sierras
568      | 0.952   | 7        | 2688     |    0.3% | Bebés y niños pequeños  >  Transporte de bebés  >  Cochecitos de bebé
